County,Cases,Deaths,Date
Ada,385,3,4.4.20
Adams,1,0,4.4.20
Bannock,5,0,4.4.20
Bear Lake,0,0,4.4.20
Benewah,0,0,4.4.20
Bingham,2,0,4.4.20
Blaine,410,2,4.4.20
Boise,0,0,4.4.20
Bonner,2,0,4.4.20
Bonneville,5,0,4.4.20
Boundary,0,0,4.4.20
Butte,0,0,4.4.20
Camas,1,0,4.4.20
Canyon,99,1,4.4.20
Caribou,1,0,4.4.20
Cassia,4,1,4.4.20
Clark,0,0,4.4.20
Clearwater,0,0,4.4.20
Custer,2,0,4.4.20
Elmore,11,0,4.4.20
Franklin,0,0,4.4.20
Fremont,1,0,4.4.20
Gem,7,0,4.4.20
Gooding,1,0,4.4.20
Idaho,2,0,4.4.20
Jefferson,3,0,4.4.20
Jerome,13,0,4.4.20
Kootenai,40,0,4.4.20
Latah,1,0,4.4.20
Lemhi,0,0,4.4.20
Lewis,1,0,4.4.20
Lincoln,9,0,4.4.20
Madison,4,0,4.4.20
Minidoka,3,0,4.4.20
Nez Perce,13,2,4.4.20
Oneida,0,0,4.4.20
Owyhee,2,0,4.4.20
Payette,5,0,4.4.20
Power,0,0,4.4.20
Shoshone,0,0,4.4.20
Teton,4,0,4.4.20
Twin Falls,37,1,4.4.20
Valley,2,0,4.4.20
Washington,1,0,4.4.20
